sample_id,project_id,condition_id,rep,machine,PMID,GEO,CEL_file,creator,creator-email,run-date,baseline,gene_change,change_type,strain-description,growth-stage,temperature,base-media,carbon-source,nitrogen-source,electron-acceptor,supplement,environment
anaero__del_oxyR__1,anaero,del_oxyR,1,GPL199 (Affymetrix),15129285,GSE1107,,Jinseong Cheong,jcheong@ucsd.edu,03/05/04,,b3961,KO,Escherichia coli str. K-12 substr. MG1655 del_oxyR,mid-log,37°C,M9 minimal media,0.2% glucose,NH4Cl,NO3,,anaerobic
anaero__del_oxyR__2,anaero,del_oxyR,2,GPL199 (Affymetrix),15129285,GSE1107,,Jinseong Cheong,jcheong@ucsd.edu,03/05/04,,b3961,KO,Escherichia coli str. K-12 substr. MG1655 del_oxyR,mid-log,37°C,M9 minimal media,0.2% glucose,NH4Cl,NO3,,anaerobic
anaero__del_oxyR__3,anaero,del_oxyR,3,GPL199 (Affymetrix),15129285,GSE1107,,Jinseong Cheong,jcheong@ucsd.edu,03/05/04,,b3961,KO,Escherichia coli str. K-12 substr. MG1655 del_oxyR,mid-log,37°C,M9 minimal media,0.2% glucose,NH4Cl,NO3,,anaerobic
anaero__del_soxS__1,anaero,del_soxS,1,GPL199 (Affymetrix),15129285,GSE1107,,Jinseong Cheong,jcheong@ucsd.edu,03/05/04,,b4062,KO,Escherichia coli str. K-12 substr. MG1655 del_soxS,mid-log,37°C,M9 minimal media,0.2% glucose,NH4Cl,NO3,,anaerobic
anaero__del_soxS__2,anaero,del_soxS,2,GPL199 (Affymetrix),15129285,GSE1107,,Jinseong Cheong,jcheong@ucsd.edu,03/05/04,,b4062,KO,Escherichia coli str. K-12 substr. MG1655 del_soxS,mid-log,37°C,M9 minimal media,0.2% glucose,NH4Cl,NO3,,anaerobic
anaero__del_soxS__3,anaero,del_soxS,3,GPL199 (Affymetrix),15129285,GSE1107,,Jinseong Cheong,jcheong@ucsd.edu,03/05/04,,b4062,KO,Escherichia coli str. K-12 substr. MG1655 del_soxS,mid-log,37°C,M9 minimal media,0.2% glucose,NH4Cl,NO3,,anaerobic
anaero__wt__1,anaero,wt,1,GPL199 (Affymetrix),15129285,GSE1107,,Jinseong Cheong,jcheong@ucsd.edu,03/05/04,,,,Escherichia coli str. K-12 substr. MG1655,mid-log,37°C,M9 minimal media,0.2% glucose,NH4Cl,NO3,,anaerobic
anaero__wt__2,anaero,wt,2,GPL199 (Affymetrix),15129285,GSE1107,,Jinseong Cheong,jcheong@ucsd.edu,03/05/04,,,,Escherichia coli str. K-12 substr. MG1655,mid-log,37°C,M9 minimal media,0.2% glucose,NH4Cl,NO3,,anaerobic
anaero__wt__3,anaero,wt,3,GPL199 (Affymetrix),15129285,GSE1107,,Jinseong Cheong,jcheong@ucsd.edu,03/05/04,,,,Escherichia coli str. K-12 substr. MG1655,mid-log,37°C,M9 minimal media,0.2% glucose,NH4Cl,NO3,,anaerobic
anaero__wt__4,anaero,wt,4,GPL199 (Affymetrix),15129285,GSE1107,,Jinseong Cheong,jcheong@ucsd.edu,03/05/04,,,,Escherichia coli str. K-12 substr. MG1655,mid-log,37°C,M9 minimal media,0.2% glucose,NH4Cl,NO3,,anaerobic
ec_evol__lac2_day20__1,ec_evol,lac2_day20,1,GPL199 (Affymetrix),16204189,GSE33147,,Stephen Fong,ssfong@vcu.edu,10/21/11,,,,Escherichia coli str. K-12 substr. MG1655,mid-log,30°C,M9 minimal media,0.2% L-lactate,NH4Cl,O2,,aerobic
ec_evol__lac2_day20__2,ec_evol,lac2_day20,2,GPL199 (Affymetrix),16204189,GSE33147,,Stephen Fong,ssfong@vcu.edu,10/21/11,,,,Escherichia coli str. K-12 substr. MG1655,mid-log,30°C,M9 minimal media,0.2% L-lactate,NH4Cl,O2,,aerobic
ec_evol__lac2_day20__3,ec_evol,lac2_day20,3,GPL199 (Affymetrix),16204189,GSE33147,,Stephen Fong,ssfong@vcu.edu,10/21/11,,,,Escherichia coli str. K-12 substr. MG1655,mid-log,30°C,M9 minimal media,0.2% L-lactate,NH4Cl,O2,,aerobic
ec_evol__lac2_day60__1,ec_evol,lac2_day60,1,GPL199 (Affymetrix),16204189,GSE33147,,Stephen Fong,ssfong@vcu.edu,10/21/11,,,,Escherichia coli str. K-12 substr. MG1655,mid-log,30°C,M9 minimal media,0.2% L-lactate,NH4Cl,O2,,aerobic
ec_evol__lac2_day60__2,ec_evol,lac2_day60,2,GPL199 (Affymetrix),16204189,GSE33147,,Stephen Fong,ssfong@vcu.edu,10/21/11,,,,Escherichia coli str. K-12 substr. MG1655,mid-log,30°C,M9 minimal media,0.2% L-lactate,NH4Cl,O2,,aerobic
ec_evol__lac2_day60__3,ec_evol,lac2_day60,3,GPL199 (Affymetrix),16204189,GSE33147,,Stephen Fong,ssfong@vcu.edu,10/21/11,,,,Escherichia coli str. K-12 substr. MG1655,mid-log,30°C,M9 minimal media,0.2% L-lactate,NH4Cl,O2,,aerobic
ec_evol__lac3_day20__1,ec_evol,lac3_day20,1,GPL199 (Affymetrix),16204189,GSE33147,,Stephen Fong,ssfong@vcu.edu,10/21/11,,,,Escherichia coli str. K-12 substr. MG1655,mid-log,30°C,M9 minimal media,0.2% L-lactate,NH4Cl,O2,,aerobic
ec_evol__lac3_day20__2,ec_evol,lac3_day20,2,GPL199 (Affymetrix),16204189,GSE33147,,Stephen Fong,ssfong@vcu.edu,10/21/11,,,,Escherichia coli str. K-12 substr. MG1655,mid-log,30°C,M9 minimal media,0.2% L-lactate,NH4Cl,O2,,aerobic
ec_evol__lac3_day20__3,ec_evol,lac3_day20,3,GPL199 (Affymetrix),16204189,GSE33147,,Stephen Fong,ssfong@vcu.edu,10/21/11,,,,Escherichia coli str. K-12 substr. MG1655,mid-log,30°C,M9 minimal media,0.2% L-lactate,NH4Cl,O2,,aerobic
ec_evol__lac3_day60__1,ec_evol,lac3_day60,1,GPL199 (Affymetrix),16204189,GSE33147,,Stephen Fong,ssfong@vcu.edu,10/21/11,,,,Escherichia coli str. K-12 substr. MG1655,mid-log,30°C,M9 minimal media,0.2% L-lactate,NH4Cl,O2,,aerobic
ec_evol__lac3_day60__2,ec_evol,lac3_day60,2,GPL199 (Affymetrix),16204189,GSE33147,,Stephen Fong,ssfong@vcu.edu,10/21/11,,,,Escherichia coli str. K-12 substr. MG1655,mid-log,30°C,M9 minimal media,0.2% L-lactate,NH4Cl,O2,,aerobic
ec_evol__lac3_day60__3,ec_evol,lac3_day60,3,GPL199 (Affymetrix),16204189,GSE33147,,Stephen Fong,ssfong@vcu.edu,10/21/11,,,,Escherichia coli str. K-12 substr. MG1655,mid-log,30°C,M9 minimal media,0.2% L-lactate,NH4Cl,O2,,aerobic
ec_evol__lacA_day20__1,ec_evol,lacA_day20,1,GPL199 (Affymetrix),16204189,GSE33147,,Stephen Fong,ssfong@vcu.edu,10/21/11,,,,Escherichia coli str. K-12 substr. MG1655,mid-log,30°C,M9 minimal media,0.2% L-lactate,NH4Cl,O2,,aerobic
ec_evol__lacA_day20__2,ec_evol,lacA_day20,2,GPL199 (Affymetrix),16204189,GSE33147,,Stephen Fong,ssfong@vcu.edu,10/21/11,,,,Escherichia coli str. K-12 substr. MG1655,mid-log,30°C,M9 minimal media,0.2% L-lactate,NH4Cl,O2,,aerobic
ec_evol__lacA_day20__3,ec_evol,lacA_day20,3,GPL199 (Affymetrix),16204189,GSE33147,,Stephen Fong,ssfong@vcu.edu,10/21/11,,,,Escherichia coli str. K-12 substr. MG1655,mid-log,30°C,M9 minimal media,0.2% L-lactate,NH4Cl,O2,,aerobic
ec_evol__lacA_day60__1,ec_evol,lacA_day60,1,GPL199 (Affymetrix),16204189,GSE33147,,Stephen Fong,ssfong@vcu.edu,10/21/11,,,,Escherichia coli str. K-12 substr. MG1655,mid-log,30°C,M9 minimal media,0.2% L-lactate,NH4Cl,O2,,aerobic
ec_evol__lacA_day60__2,ec_evol,lacA_day60,2,GPL199 (Affymetrix),16204189,GSE33147,,Stephen Fong,ssfong@vcu.edu,10/21/11,,,,Escherichia coli str. K-12 substr. MG1655,mid-log,30°C,M9 minimal media,0.2% L-lactate,NH4Cl,O2,,aerobic
ec_evol__lacA_day60__3,ec_evol,lacA_day60,3,GPL199 (Affymetrix),16204189,GSE33147,,Stephen Fong,ssfong@vcu.edu,10/21/11,,,,Escherichia coli str. K-12 substr. MG1655,mid-log,30°C,M9 minimal media,0.2% L-lactate,NH4Cl,O2,,aerobic
ec_evol__lacA_day60__4,ec_evol,lacA_day60,4,GPL199 (Affymetrix),16204189,GSE33147,,Stephen Fong,ssfong@vcu.edu,10/21/11,,,,Escherichia coli str. K-12 substr. MG1655,mid-log,30°C,M9 minimal media,0.2% L-lactate,NH4Cl,O2,,aerobic
ec_evol__lacB_day20__1,ec_evol,lacB_day20,1,GPL199 (Affymetrix),16204189,GSE33147,,Stephen Fong,ssfong@vcu.edu,10/21/11,,,,Escherichia coli str. K-12 substr. MG1655,mid-log,30°C,M9 minimal media,0.2% L-lactate,NH4Cl,O2,,aerobic
ec_evol__lacB_day20__2,ec_evol,lacB_day20,2,GPL199 (Affymetrix),16204189,GSE33147,,Stephen Fong,ssfong@vcu.edu,10/21/11,,,,Escherichia coli str. K-12 substr. MG1655,mid-log,30°C,M9 minimal media,0.2% L-lactate,NH4Cl,O2,,aerobic
ec_evol__lacB_day20__3,ec_evol,lacB_day20,3,GPL199 (Affymetrix),16204189,GSE33147,,Stephen Fong,ssfong@vcu.edu,10/21/11,,,,Escherichia coli str. K-12 substr. MG1655,mid-log,30°C,M9 minimal media,0.2% L-lactate,NH4Cl,O2,,aerobic
ec_evol__lacB_day60__1,ec_evol,lacB_day60,1,GPL199 (Affymetrix),16204189,GSE33147,,Stephen Fong,ssfong@vcu.edu,10/21/11,,,,Escherichia coli str. K-12 substr. MG1655,mid-log,30°C,M9 minimal media,0.2% L-lactate,NH4Cl,O2,,aerobic
ec_evol__lacB_day60__2,ec_evol,lacB_day60,2,GPL199 (Affymetrix),16204189,GSE33147,,Stephen Fong,ssfong@vcu.edu,10/21/11,,,,Escherichia coli str. K-12 substr. MG1655,mid-log,30°C,M9 minimal media,0.2% L-lactate,NH4Cl,O2,,aerobic
ec_evol__lacB_day60__3,ec_evol,lacB_day60,3,GPL199 (Affymetrix),16204189,GSE33147,,Stephen Fong,ssfong@vcu.edu,10/21/11,,,,Escherichia coli str. K-12 substr. MG1655,mid-log,30°C,M9 minimal media,0.2% L-lactate,NH4Cl,O2,,aerobic
ec_evol__lacC_day20__1,ec_evol,lacC_day20,1,GPL199 (Affymetrix),16204189,GSE33147,,Stephen Fong,ssfong@vcu.edu,10/21/11,,,,Escherichia coli str. K-12 substr. MG1655,mid-log,30°C,M9 minimal media,0.2% L-lactate,NH4Cl,O2,,aerobic
ec_evol__lacC_day20__2,ec_evol,lacC_day20,2,GPL199 (Affymetrix),16204189,GSE33147,,Stephen Fong,ssfong@vcu.edu,10/21/11,,,,Escherichia coli str. K-12 substr. MG1655,mid-log,30°C,M9 minimal media,0.2% L-lactate,NH4Cl,O2,,aerobic
ec_evol__lacC_day20__3,ec_evol,lacC_day20,3,GPL199 (Affymetrix),16204189,GSE33147,,Stephen Fong,ssfong@vcu.edu,10/21/11,,,,Escherichia coli str. K-12 substr. MG1655,mid-log,30°C,M9 minimal media,0.2% L-lactate,NH4Cl,O2,,aerobic
ec_evol__lacC_day60__1,ec_evol,lacC_day60,1,GPL199 (Affymetrix),16204189,GSE33147,,Stephen Fong,ssfong@vcu.edu,10/21/11,,,,Escherichia coli str. K-12 substr. MG1655,mid-log,30°C,M9 minimal media,0.2% L-lactate,NH4Cl,O2,,aerobic
ec_evol__lacC_day60__2,ec_evol,lacC_day60,2,GPL199 (Affymetrix),16204189,GSE33147,,Stephen Fong,ssfong@vcu.edu,10/21/11,,,,Escherichia coli str. K-12 substr. MG1655,mid-log,30°C,M9 minimal media,0.2% L-lactate,NH4Cl,O2,,aerobic
ec_evol__lacC_day60__3,ec_evol,lacC_day60,3,GPL199 (Affymetrix),16204189,GSE33147,,Stephen Fong,ssfong@vcu.edu,10/21/11,,,,Escherichia coli str. K-12 substr. MG1655,mid-log,30°C,M9 minimal media,0.2% L-lactate,NH4Cl,O2,,aerobic
ec_evol__lacD_day20__1,ec_evol,lacD_day20,1,GPL199 (Affymetrix),16204189,GSE33147,,Stephen Fong,ssfong@vcu.edu,10/21/11,,,,Escherichia coli str. K-12 substr. MG1655,mid-log,30°C,M9 minimal media,0.2% L-lactate,NH4Cl,O2,,aerobic
ec_evol__lacD_day20__2,ec_evol,lacD_day20,2,GPL199 (Affymetrix),16204189,GSE33147,,Stephen Fong,ssfong@vcu.edu,10/21/11,,,,Escherichia coli str. K-12 substr. MG1655,mid-log,30°C,M9 minimal media,0.2% L-lactate,NH4Cl,O2,,aerobic
ec_evol__lacD_day20__3,ec_evol,lacD_day20,3,GPL199 (Affymetrix),16204189,GSE33147,,Stephen Fong,ssfong@vcu.edu,10/21/11,,,,Escherichia coli str. K-12 substr. MG1655,mid-log,30°C,M9 minimal media,0.2% L-lactate,NH4Cl,O2,,aerobic
ec_evol__lacD_day60__1,ec_evol,lacD_day60,1,GPL199 (Affymetrix),16204189,GSE33147,,Stephen Fong,ssfong@vcu.edu,10/21/11,,,,Escherichia coli str. K-12 substr. MG1655,mid-log,30°C,M9 minimal media,0.2% L-lactate,NH4Cl,O2,,aerobic
ec_evol__lacD_day60__2,ec_evol,lacD_day60,2,GPL199 (Affymetrix),16204189,GSE33147,,Stephen Fong,ssfong@vcu.edu,10/21/11,,,,Escherichia coli str. K-12 substr. MG1655,mid-log,30°C,M9 minimal media,0.2% L-lactate,NH4Cl,O2,,aerobic
ec_evol__lacD_day60__3,ec_evol,lacD_day60,3,GPL199 (Affymetrix),16204189,GSE33147,,Stephen Fong,ssfong@vcu.edu,10/21/11,,,,Escherichia coli str. K-12 substr. MG1655,mid-log,30°C,M9 minimal media,0.2% L-lactate,NH4Cl,O2,,aerobic
ec_evol__lacE_day20__1,ec_evol,lacE_day20,1,GPL199 (Affymetrix),16204189,GSE33147,,Stephen Fong,ssfong@vcu.edu,10/21/11,,,,Escherichia coli str. K-12 substr. MG1655,mid-log,30°C,M9 minimal media,0.2% L-lactate,NH4Cl,O2,,aerobic
ec_evol__lacE_day20__2,ec_evol,lacE_day20,2,GPL199 (Affymetrix),16204189,GSE33147,,Stephen Fong,ssfong@vcu.edu,10/21/11,,,,Escherichia coli str. K-12 substr. MG1655,mid-log,30°C,M9 minimal media,0.2% L-lactate,NH4Cl,O2,,aerobic
